initial conc.	well	 Raw Data (340-30/440-40)
30.0	G01	8053
30.0	E01	6893
30.0	C01	6789
30.0	A01	6002
20.0	H01	6883
20.0	F01	6421
20.0	D01	4177
20.0	B01	7070
15.0	G02	5524
15.0	E02	5651
15.0	C02	6134
15.0	A02	6345
10.0	H02	6619
10.0	F02	5944
10.0	D02	5918
10.0	B02	6118
7.5	G03	8706
7.5	E03	8675
7.5	C03	12474
7.5	A03	7994
5.0	H03	36325
5.0	F03	31121
5.0	D03	32002
5.0	B03	33971
3.75	G04	27247
3.75	E04	28876
3.75	C04	25532
3.75	A04	29383
2.5	H04	21369
2.5	F04	20145
2.5	D04	20177
2.5	B04	18675
1.875	G05	16267
1.875	E05	15880
1.875	C05	15512
1.875	A05	17212
1.25	H05	11948
1.25	F05	12393
1.25	D05	11967
1.25	B05	12237
0.9375	G06	10195
0.9375	E06	10293
0.9375	C06	14378
0.9375	A06	11204
0.625	H06	8587
0.625	F06	7942
0.625	D06	8272
0.625	B06	8883
0.46875	G07	7284
0.46875	E07	7287
0.46875	C07	7239
0.46875	A07	7966
0.3125	H07	6299
0.3125	F07	6132
0.3125	D07	6126
0.3125	B07	6729
0.234375	G08	5691
0.234375	E08	5920
0.234375	C08	6223
0.234375	A08	6901
0.15625	H08	4990
0.15625	F08	5350
0.15625	D08	5309
0.15625	B08	6157
0.1171875	G09	5024
0.1171875	E09	5117
0.1171875	C09	5190
0.1171875	A09	5962
0.078125	H09	4550
0.078125	F09	4663
0.078125	D09	4789
0.078125	B09	5642
0.05859375	G10	4618
0.05859375	E10	4466
0.05859375	C10	4837
0.05859375	A10	5009
0.0390625	H10	4443
0.0390625	F10	4593
0.0390625	D10	4393
0.0390625	B10	4842
0.029296875	G11	4097
0.029296875	E11	4356
0.029296875	C11	4585
0.029296875	A11	4580
0.01953125	H11	4146
0.01953125	F11	4158
0.01953125	D11	4173
0.01953125	B11	4809
0.0	H12	4123
0.0	G12	4506
0.0	F12	4197
0.0	E12	4237
0.0	D12	4236
0.0	C12	4290
0.0	B12	4231
0.0	A12	4266
